province,ym,disease,persons,visits,opd,ipd
กระบี่,2024-01,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,10691,11990,10639,99
กระบี่,2024-01,โรคปอดอุดกั้นเรื้อรัง,858,1182,776,208
กระบี่,2024-01,โรคผิวหนังอักเสบ,412,467,411,1
กระบี่,2024-01,โรคลมพิษ,310,343,307,3
กระบี่,2024-01,โรคหอบหืด,1231,1484,1150,172
กระบี่,2024-01,โรคเยื่อจมูกอักเสบจากภูมิแพ้,443,471,442,1
กระบี่,2024-01,โรคเยื่อบุตาอักเสบ,565,604,565,0
กระบี่,2024-02,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,7216,7898,7167,90
กระบี่,2024-02,โรคปอดอุดกั้นเรื้อรัง,805,1141,745,185
กระบี่,2024-02,โรคผิวหนังอักเสบ,435,512,435,3
กระบี่,2024-02,โรคลมพิษ,283,313,278,13
กระบี่,2024-02,โรคหอบหืด,1105,1332,1058,117
กระบี่,2024-02,โรคเยื่อจมูกอักเสบจากภูมิแพ้,413,434,413,0
กระบี่,2024-02,โรคเยื่อบุตาอักเสบ,588,646,588,0
กระบี่,2024-03,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6044,6610,6005,80
กระบี่,2024-03,โรคปอดอุดกั้นเรื้อรัง,885,1179,821,159
กระบี่,2024-03,โรคผิวหนังอักเสบ,378,448,377,2
กระบี่,2024-03,โรคลมพิษ,238,258,236,3
กระบี่,2024-03,โรคหอบหืด,1102,1275,1064,84
กระบี่,2024-03,โรคเยื่อจมูกอักเสบจากภูมิแพ้,321,339,320,1
กระบี่,2024-03,โรคเยื่อบุตาอักเสบ,509,545,509,1
กระบี่,2024-04,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,4128,4570,4095,66
กระบี่,2024-04,โรคปอดอุดกั้นเรื้อรัง,683,962,626,147
กระบี่,2024-04,โรคผิวหนังอักเสบ,463,514,462,1
กระบี่,2024-04,โรคลมพิษ,297,337,295,5
กระบี่,2024-04,โรคหอบหืด,800,920,775,47
กระบี่,2024-04,โรคเยื่อจมูกอักเสบจากภูมิแพ้,275,288,275,0
กระบี่,2024-04,โรคเยื่อบุตาอักเสบ,477,509,477,0
กระบี่,2024-05,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6410,6905,6343,98
กระบี่,2024-05,โรคปอดอุดกั้นเรื้อรัง,762,1024,694,159
กระบี่,2024-05,โรคผิวหนังอักเสบ,496,548,496,0
กระบี่,2024-05,โรคลมพิษ,251,273,250,5
กระบี่,2024-05,โรคหอบหืด,926,1048,906,45
กระบี่,2024-05,โรคเยื่อจมูกอักเสบจากภูมิแพ้,269,279,269,0
กระบี่,2024-05,โรคเยื่อบุตาอักเสบ,485,535,485,1
กระบี่,2024-06,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6698,7375,6635,108
กระบี่,2024-06,โรคปอดอุดกั้นเรื้อรัง,641,864,590,136
กระบี่,2024-06,โรคผิวหนังอักเสบ,396,444,393,4
กระบี่,2024-06,โรคลมพิษ,211,227,208,6
กระบี่,2024-06,โรคหอบหืด,790,946,743,99
กระบี่,2024-06,โรคเยื่อจมูกอักเสบจากภูมิแพ้,205,213,205,0
กระบี่,2024-06,โรคเยื่อบุตาอักเสบ,425,470,424,1
กระบี่,2024-07,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,7387,8238,7344,89
กระบี่,2024-07,โรคปอดอุดกั้นเรื้อรัง,648,885,602,138
กระบี่,2024-07,โรคผิวหนังอักเสบ,446,500,446,1
กระบี่,2024-07,โรคลมพิษ,210,241,208,8
กระบี่,2024-07,โรคหอบหืด,908,1102,862,118
กระบี่,2024-07,โรคเยื่อจมูกอักเสบจากภูมิแพ้,207,226,207,0
กระบี่,2024-07,โรคเยื่อบุตาอักเสบ,517,552,517,0
กระบี่,2024-08,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,8489,9418,8439,85
กระบี่,2024-08,โรคปอดอุดกั้นเรื้อรัง,684,944,639,119
กระบี่,2024-08,โรคผิวหนังอักเสบ,423,458,423,0
กระบี่,2024-08,โรคลมพิษ,240,256,238,4
กระบี่,2024-08,โรคหอบหืด,889,1085,823,120
กระบี่,2024-08,โรคเยื่อจมูกอักเสบจากภูมิแพ้,267,289,267,0
กระบี่,2024-08,โรคเยื่อบุตาอักเสบ,443,490,443,0
