province,issued_on,issued_at,target,window_start,window_end,pm25,previous_pm25,latest_pm25,actual_pm25,checked_at
สระบุรี,2026-09-26,2026-09-26T13:11:28,day_after,2026-09-27T20:00,2026-09-28T19:00,7.7,9.2,9.0,,
สระบุรี,2026-09-26,2026-09-26T13:11:28,tomorrow,2026-09-26T20:00,2026-09-27T19:00,8.4,9.2,9.0,,
สิงห์บุรี,2026-09-26,2026-09-26T13:11:29,day_after,2026-09-27T20:00,2026-09-28T19:00,1.1,3.0,1.8,,
สิงห์บุรี,2026-09-26,2026-09-26T13:11:29,tomorrow,2026-09-26T20:00,2026-09-27T19:00,1.3,3.0,1.8,,
สุพรรณบุรี,2026-09-26,2026-09-26T13:11:29,day_after,2026-09-27T20:00,2026-09-28T19:00,3.5,9.0,5.5,,
สุพรรณบุรี,2026-09-26,2026-09-26T13:11:29,tomorrow,2026-09-26T20:00,2026-09-27T19:00,4.2,9.0,5.5,,
สุราษฎร์ธานี,2026-09-26,2026-09-26T13:11:29,day_after,2026-09-27T16:00,2026-09-28T15:00,5.2,7.0,6.4,,
สุราษฎร์ธานี,2026-09-26,2026-09-26T13:11:29,tomorrow,2026-09-26T16:00,2026-09-27T15:00,5.8,7.0,6.4,,
สุรินทร์,2026-09-26,2026-09-26T13:11:29,day_after,2026-09-27T20:00,2026-09-28T19:00,2.2,3.4,2.7,,
สุรินทร์,2026-09-26,2026-09-26T13:11:29,tomorrow,2026-09-26T20:00,2026-09-27T19:00,2.4,3.4,2.7,,
สุโขทัย,2026-09-26,2026-09-26T13:11:29,day_after,2026-09-27T20:00,2026-09-28T19:00,4.3,9.8,6.4,,
สุโขทัย,2026-09-26,2026-09-26T13:11:29,tomorrow,2026-09-26T20:00,2026-09-27T19:00,5.0,9.8,6.4,,
หนองคาย,2026-09-26,2026-09-26T13:11:30,day_after,2026-09-27T20:00,2026-09-28T19:00,5.9,14.8,9.2,,
หนองคาย,2026-09-26,2026-09-26T13:11:30,tomorrow,2026-09-26T20:00,2026-09-27T19:00,7.0,14.8,9.2,,
หนองบัวลำภู,2026-09-26,2026-09-26T13:11:30,day_after,2026-09-27T20:00,2026-09-28T19:00,8.9,8.8,9.9,,
หนองบัวลำภู,2026-09-26,2026-09-26T13:11:30,tomorrow,2026-09-26T20:00,2026-09-27T19:00,9.5,8.8,9.9,,
อำนาจเจริญ,2026-09-26,2026-09-26T13:11:30,day_after,2026-09-27T20:00,2026-09-28T19:00,5.6,6.7,6.5,,
อำนาจเจริญ,2026-09-26,2026-09-26T13:11:30,tomorrow,2026-09-26T20:00,2026-09-27T19:00,6.0,6.7,6.5,,
อุดรธานี,2026-09-26,2026-09-26T13:11:30,day_after,2026-09-27T20:00,2026-09-28T19:00,6.3,11.4,8.5,,
อุดรธานี,2026-09-26,2026-09-26T13:11:30,tomorrow,2026-09-26T20:00,2026-09-27T19:00,7.1,11.4,8.5,,
อุตรดิตถ์,2026-09-26,2026-09-26T13:11:30,day_after,2026-09-27T20:00,2026-09-28T19:00,7.5,12.5,9.7,,
อุตรดิตถ์,2026-09-26,2026-09-26T13:11:30,tomorrow,2026-09-26T20:00,2026-09-27T19:00,8.4,12.5,9.7,,
อุทัยธานี,2026-09-26,2026-09-26T13:11:30,day_after,2026-09-27T20:00,2026-09-28T19:00,6.7,12.0,8.9,,
อุทัยธานี,2026-09-26,2026-09-26T13:11:30,tomorrow,2026-09-26T20:00,2026-09-27T19:00,7.5,12.0,8.9,,
อุบลราชธานี,2026-09-26,2026-09-26T13:11:31,day_after,2026-09-27T20:00,2026-09-28T19:00,5.6,4.7,6.0,,
อุบลราชธานี,2026-09-26,2026-09-26T13:11:31,tomorrow,2026-09-26T20:00,2026-09-27T19:00,6.0,4.7,6.0,,
อ่างทอง,2026-09-26,2026-09-26T13:11:31,day_after,2026-09-27T20:00,2026-09-28T19:00,2.0,2.1,2.2,,
อ่างทอง,2026-09-26,2026-09-26T13:11:31,tomorrow,2026-09-26T20:00,2026-09-27T19:00,2.1,2.1,2.2,,
เชียงราย,2026-09-26,2026-09-26T13:11:31,day_after,2026-09-27T20:00,2026-09-28T19:00,14.0,18.0,16.6,,
เชียงราย,2026-09-26,2026-09-26T13:11:31,tomorrow,2026-09-26T20:00,2026-09-27T19:00,15.3,18.0,16.6,,
เชียงใหม่,2026-09-26,2026-09-26T13:11:31,day_after,2026-09-27T20:00,2026-09-28T19:00,8.3,16.4,11.4,,
เชียงใหม่,2026-09-26,2026-09-26T13:11:31,tomorrow,2026-09-26T20:00,2026-09-27T19:00,9.4,16.4,11.4,,
เพชรบูรณ์,2026-09-26,2026-09-26T13:11:31,day_after,2026-09-27T20:00,2026-09-28T19:00,2.8,7.2,4.3,,
เพชรบูรณ์,2026-09-26,2026-09-26T13:11:31,tomorrow,2026-09-26T20:00,2026-09-27T19:00,3.2,7.2,4.3,,
แพร่,2026-09-26,2026-09-26T13:11:32,day_after,2026-09-27T20:00,2026-09-28T19:00,7.3,12.1,9.5,,
แพร่,2026-09-26,2026-09-26T13:11:32,tomorrow,2026-09-26T20:00,2026-09-27T19:00,8.2,12.1,9.5,,
แม่ฮ่องสอน,2026-09-26,2026-09-26T13:11:32,day_after,2026-09-27T20:00,2026-09-28T19:00,8.3,11.8,10.0,,
แม่ฮ่องสอน,2026-09-26,2026-09-26T13:11:32,tomorrow,2026-09-26T20:00,2026-09-27T19:00,9.1,11.8,10.0,,
